,rxn,real_molrank,energy_molrank,max_rate
2268,s18 + s2 = s11 + s19,2.2262109937933292e-37,1.201033195155464e-43,2.8618904511745103e-51
2269,s1 + s15 = s16 + s17,74438.90863010159,0.00463012821740163,3.471055045071577e-18
2270,s18 + s9 = s20 + s6,0.888046372015449,0.024883615970386404,6.462182207493408e-12
2271,s2 + s6 = s17 + s20,1.8547810766010993e-28,1.3155134350425296e-47,5.618418375351784e-38
2272,s12 + s4 = s18 + s3,1.1539609615346286e-21,4.219473244468125e-27,2.892466036341759e-35
2273,s18 + s5 = s1 + s16,1.86006463550789e-13,4.3409697626148636e-10,1.4597539894683228e-30
2274,s21 + s4 = s15 + s24,4.785857200354143e-41,2.847453903381068e-54,4.9917674995421573e-42
2275,s15 + s2 = s13 + s20,0.5922964040055098,0.015280685523925887,3.5794792593415746e-28
2276,s2 + s4 = s13 + s24,1.5196912253973115e-31,7.345250948613092e-28,8.009990325165475e-49
2277,s1 + s18 = s16 + s19,28754845.813911725,0.010931049628736396,5.244471973778082e-12
2278,s18 + s24 = s13 + s19,12818.14720261204,0.0040294650751312115,1.3558031823414153e-05
2279,s6 + s7 = s13 + s24,45.39661079616957,8.785341356806839e-13,1.3271904314007365e-14
2280,s2 + s24 = s16 + s6,292.44735013856086,0.04970503225760757,1.8880083324105835e-12
2281,s22 + s4 = s16 + s9,85937940221418.42,0.34336352532318587,3127912674303.067
2282,s12 + s18 = s20 + s24,2.574416829855547e-50,4.67737871018012e-59,9.453515778069104e-67
2283,s16 + s9 = s14 + s17,75070.26740173232,0.00011665371885608846,0.22722112421874344
2284,s2 + s22 = s24 + s7,3.884239590446489e-16,2.5986922002616627e-25,5.690804266798019e-34
2285,s11 + s4 = s16 + s24,6.653282433256506e-19,0.0055136593266011495,4.259578894772057e-32
2286,s1 + s18 = s13 + s16,9146.091005684148,0.010931049628736396,1.6681159850187038e-15
2287,s2 + s9 = s16 + s8,2.2716468775316024e-08,0.014747622135886606,6.879806308930585e-32
2288,s18 + s5 = s16 + s3,1.7051221402031347e-16,0.011907102680540647,1.3381571796899704e-33
